Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
GRZ Technologies,https://grz-technologies.com/,GRZ Technologies has developed a hydrogen storage solution for renewable energy projects. The solution uses the energy produced from solar & wind projects to produce & store hydrogen gas atoms in metallic compounds. The system has a nominal capacity of 1-megawatt-hour and fuel cell of  100-kilowatt. Can supply power during peak demand conditions. Also provides portable hydrogen compressors and analysis system for laboratory applications.,Switzerland,Hydrogen Economy,Whole System Resources,2017,Nascent,"312,600",Seed,Sustainability
Guard Hat,https://www.guardhat.com/,"GuardHat has developed a solution which uses wearable safety hat and proprietary software to improve safety of industrial workers. The safety hat is equipped with sensors that can monitor the working environment, number of hours spent in that environment and monitors physiological irregularities like an erratic pulse. The software tags every machine and moving object in the premise and alerts the user when a moving object approaches very close. It can detect fall and hazardous environments and alerts the user and concerned authorities. It maintains a real time communication between workers.",USA,Personnel Protection,Safety,2014,Nascent,"24,000,000",Series A,Stability
H2 Energy Now,https://h2energynow.com/wordpress/,"H2 Energy has developed a patented process to separate water into hydrogen and oxygen and store them separately. The process does not involve electrolyis and is nearly 89% efficient as claimed by the company. The process involves combining two technologies, radio waves and water separation , radio waves are utilized to separate the elements of the water molecule by adding energy to the vibration. When the hydrogen and oxygen is separated, the hydrogen can be used to generate power and the oxygen can be sold separately as a separate revenue source.",Israel,Grid-scale Storage,Whole System Resources,2010,Nascent,"75,000",Seed,Stability
Hangar,https://hangar.com/,Hangar Technology is a stealth-mode drone technology company that develops software solutions for drones. The company creates a software solution that enables enterprises to process and manage drone-acquired data. Hangar has competency in computer vision and intends to develop a flight control module that is capable of imparting complete autonomy to drones.,USA,Predictive Maintainance,Smart Operations,2016,Mature,"6,300,000",Acquired,Stability
Heliexpower,https://heliexpower.com/,"Heliex Power has developed a patented technology that can generate power, re-energise low-pressure steam and drive machinery and air compressors by utilising existing steam system in the plant. It is a rotary device that converts expansion energy from steam into useable clean electricity via a wet steam cycle. The company is backed by British Petroleum.",England,Circular Cities,Carbon Management,2010,Emerging,"14,000,000",Series B,Accessibility
Helion Energy,https://www.helionenergy.com/,Helion is developing a deuterium fuel based magnetic nuclear fusion reactor. A plasma generated from deuterium & helium is accelerated by pulsed magnetic fields to fuse the nuclei resulting in the release of temperature about 100-million degrees. The heat energy is used to generate power. The reactor is housed in a container which can generate 50-megaWatt power and claims to produce 8-times more energy than input power.,USA,Adjacent Networks,Whole System Resources,2014,Nascent,"12,100,000",Series B,Accessibility
Heliotrope,https://heliotropetech.com/,Heliotrope provides electrochromic smart windows for light and heat transmission. Offers a thin film of transparent nanocrystals embedded in a matrix that uses a small jolt of electricity to create variations in the degree a window which transmit visible light and near-infrared radiation and produces heat. It has partnered with OSG Vision Through Glass and Mornagoglass.,USA,Green Building,Buildings & Heat,2012,Nascent,"1,210,000",Seed,Accessibility
Hepta,https://heptaairborne.com/,"Hepta provides solutions for power line inspection. It provides end-to-end inspection and analysis tools to automate asset management. It provides autonomous drones and artificial intelligence-based platform for power line inspection. It provides solutions to inspect high-resolution images, detect defects, dashboards, and 3D mapping.",Estonia,Predictive Maintainance,Smart Operations,2013,Nascent,"750,000",Seed,Stability
Hexicon,https://www.hexicon.eu/,Hexicon develops offshore multi-wind turbine platforms. The company claims their patented technology enables the platform to align with the wind direction along with maximizing energy yield from the turbines. This enables harvesting of the offshore energy resources in deeper waters.,Sweden,Renewable Generation,Whole System Resources,2016,Nascent,"12,100,000",Series A,Sustainability
Highview Power,https://highviewpower.com/,"Highview Power develops a liquid-air energy storage solution for grid applications. Offered solution liquifies air at 196 degree Celsius and then the liquid air is allowed to expand at ambient temperature which increases volume by 700 folds and drives a turbine to generate power. Features include 30+ years of lifetime, power storage capacity of 40MWh to 2k MWh, and can be integrated with renewable energy systems & peak shaving conditions.",England,Grid-scale Storage,Whole System Resources,2005,Mature,"46,000,000",Series C,Stability
