Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
Copper,https://copper.co/,3,Manage Risk,10,Crypto-Custody & Encryption,"Copper provides cryptocurrency custodian services. Allows users to create offline cold storage for digital assets on the Copper Platform. Offers a triple distributed key system, that requires a multi-signature authorisation for each withdrawal. The company offers both client-side storage custody and Copper-controlled custody services.",USA,2018,Series A,2020,9300000,8000000,0.33,0.33,0.33,Nascent,3. POST TRADE,Y,,
Corlytics,http://corlytics.com,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Corlytics is the world leader in regulatory risk intelligence. Positive regulatory outcomes are of enormous benefit to regulators, regulated firms and their clients. Corlytics uniquely analyses enforcement data and other important regulatory information. This helps all stakeholders achieve better regulatory planning and execution, by providing evidence-based intelligence. We do this by providing a unique multidisciplinary team of legal analysts, risk professionals and data scientists. Our intelligence is used by regulators, financial institutions and their advisors on a global basis. Working in partnership with regulators and eminent financial institutions globally. We will enable a more transparent and stable financial system through greater regulatory compliance.",Switzerland,2013,Series A,2020,26686816,11062999,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
CoVi Analytics,http://www.covianalytics.com/,4,Automate workflows,13,Document Streamlining,"CoVi Analytics simplifies compliance for Banks and Insurers based on an AI powered Saas suite. Our mission is to help compliance, risk and business teams simplify their dealings with an increasingly complex regulatory environment and automate repetitive activities.","Chicago, Illinois, United States",2015,Acquired,2016,16342,,0.66,1,0.83,Mature,4. CLIENT SERVICING & SUPPORT,Y,,
Credijusto,http://www.credijusto.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Credijusto provides an online lending platform designed to offer easy, reliable, and transparent credit for SMEs. Its platform offers credit models that are focused on the health of each business, focusing on overall performance, rather than considering only the owner's personal credit history, enabling small businesses to obtain accessible credits in a fraction of the time and effort and grow their business. The company's credit models are focused on the health of each business, focusing on overall performance, rather than considering only the owner's personal credit history. The company was founded in 2015 and is based in Mexico City.",United States,2014,Series B,2020,53000000,100000000,0.66,0.33,0.495,Nascent,6. OTHER,N,,
Credimi,https://www.credimi.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Credimi provides an online platform to businesses for invoice financing. It offers pro-solvendo financing, supply chain financing, and without recourse financing. It also facilitates early repayments. It offers a dashboard to manage Credimi loans and refunds. It verifies the user with video recognition via the platform. It enables businesses to upload the invoices in the same format as provided by the biller.","London, England, United Kingdom",2015,Series A,2018,20800000,11400000,0.66,0.33,0.495,Nascent,6. OTHER,Y,,
Credit Benchmark,https://www.creditbenchmark.com/,3,Manage Risk,9,Data & Risk Analytics,"Credit Benchmark is a credit risk data aggregator of banks. It gathers, aggregates, and anonymizes credit data from multiple banks. It delivers data in a legally-compliant manner. It facilitates data validation and entity matching, with the ability to handle unlimited datasets. It creates credit data and analysis that reflects the views of banks’ risk teams. The model allows the offering of insights on unrated sovereigns, hedge funds, public and private companies as well as the trading subsidiaries.",USA,2012,Series B,2018,35600000,15000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
CrossLend,http://www.crosslend.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","CrossLend designs a cross-border marketplace lending platform that makes pan-European investments possible via a single platform. The company's platform connects private and institutional investors from low-interest rate countries with borrowers from high-interest rate countries and intermediates loans and securitizes them into bonds in which they can invest, enabling investors with attractive risk-return profiles and borrowers with attractive interest rates.","Lausanne, Vaud, Switzerland",2014,Series B,2019,55027506,38759861,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
Crypta Labs,http://www.cryptalabs.com/,3,Manage Risk,7,Fraud & Cybersecurity,"Crypta Labs is a London-based quantum security startup specialising in the development of Quantum Random Number Generator chip and software to secure Industrial Internet of Things (IIoTs). They are currently working with the UK Centre for Defence Enterprise, part of the Ministry of Defence, to build them a bespoke Quantum Random Number Generator used to seed encryption. We're one of a handful of companies in the world that can do this, and the ONLY one in the world (which they know of) that are commercialising this on a MOBILE phone. Winner of the Cybersecurity Awards for ""Cyber Security Start-Up of the Year"", named by Hewlett Packard Enterprise as Top 5 UK Startups Revolutionising Enterprise Tech and Venture Radar's Hottest New Fintech Startups, Crypta Labs scientific and technology advancement means we're one the leading scientific Startups that is tackling the problems of securing Industrial Internet of Things.",USA,2014,Seed,2019,4406463,2143484,0.66,0,0.33,Nascent,6. OTHER,Y,,
Cube Global,https://www.cube.global/,1,Meet Regulatory Requirements,1,Regulatory Compliance,Cube Global is a regulatory technology software development firm that allows financial firms to automatically manage their records and data management compliance requirements even with multiple regulations. The products include CUBE Regulatory Data Service (RDS) providing a single view of all global regulations for client's records CUBE Content Cloud for full enterprise-wide content and digital transformation needs.,USA,2011,Unfunded,-,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Currencycloud,https://www.currencycloud.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Currencycloud is a global payments platform built on smart technology that takes the complexity out of moving money. Developers use their API building blocks to build customized payment solutions. Whether you want to embed their payments infrastructure into your products or services, or build on top of it, they will fit into your business in a way that works for you. They take care of all the intricacies and regulatory hurdles involved with cross-border payments, giving you the tools to globalize your business.","San Francisco, California, United States",2012,Series E,2020,141262452,80000000,0.66,0.66,0.66,Emerging,6. OTHER,Y,,
Curv,curv.co,3,Manage Risk,10,Crypto-Custody & Encryption,"Curv provides a cloud-based Institutional Digital Asset Wallet Service, giving customers control, security, and liquidity.",Canada,2018,Series A,2020,29500000,23000000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Curve,https://www.curve.com/,5,Engage Consumers,15,Banking & Personal Finance,"Curve provides an NFC-enabled multi-account payment card for consumers. It also provides an app to manage the transactions of the card and links multiple banking cards. It can be used for cash withdrawal, online/offline purchases, bill payments, and more. The app is available on iOS and Android devices.
",USA,2015,Seed,2019,74195357,,0.66,0,0.33,Nascent,6. OTHER,Y,,
CurveGlobal,https://www.lseg.com/markets-products-and-services/our-markets/curveglobal,3,Manage Risk,9,Data & Risk Analytics,CurveGlobal is an interest rate derivatives venture,United Kingdom,2014,Acquired,2019,54400000,23300000,0.66,1,0.83,Mature,2. SECONDARY,Y,,
CustoDigit,https://www.custodigit.com/en/,3,Manage Risk,10,Crypto-Custody & Encryption,"CustoDigit provides a digital asset custody platform for financial institutions. The platform provides storage of digital assets, access to exchanges and tax declaration. Offers warm & cold storage solution for private keys. Supports fulfilment of AML & CTF compliance requirements.",United Kingdom,2018,Unfunded,-,-,-,0.33,0.66,0.495,Nascent,3. POST TRADE,Y,,
Cyndx,https://www.cyndx.com/,3,Manage Risk,9,Data & Risk Analytics,"CyndX in an investment research platform for the owner, capital raiser, and finder. It is an AI-based research tool providing insights on companies positioning, operations and its growth potential. It a cloud-based capital management tool for analyzing funding, M&A transactions, and other business opportunities. The Cyndx raiser tool does the portfolio analysis and provides deal information.","Tokyo, Tokyo, Japan",2013,Series A,2017,10500000,10000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
